Event_Id,Accident_Number,Event_Date,LOCATION,Country,Latitude,Longitude,Injury_Severity,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight
20081003X62312,ANC08LA113,8/30/08,"GALENA, AK",United States,64.738055,-158.94,Non-Fatal,Airplane,N4886U,Cessna,206,No,1,Reciprocating,Personal,Unknown,0,0,1,Unknown,VMC,Cruise
20081003X62317,ANC08CA120,9/8/08,"NYAC, AK",United States,60.716667,-158.933333,Non-Fatal,Airplane,N1754U,Cessna,T207,No,1,Reciprocating,Unknown,Inland Holding Inc. (dba: Inland Aviation),0,0,0,3,VMC,Landing
20180816X12400,GAA18CA492,8/15/18,"AMBLER, AK",United States,67.05,-158.91,Non-Fatal,Airplane,N9949N,Cessna,180,No,1,Reciprocating,Unknown,Birchwood Aircraft Services Llc,0,0,0,2,VMC,Landing
20051004X01573,ANC05CA138,9/6/05,"ANIAK, AK",United States,60.750556,-158.862222,Non-Fatal,Airplane,N8624X,Cessna,180,No,1,Reciprocating,Personal,Unknown,0,0,0,2,VMC,Landing
20170502X12758,ANC17FA021,5/1/17,"CHIGNIK LAKE, AK",United States,56.140277,-158.805,Fatal,Airplane,N803TH,Cessna,208B,No,1,Turbo Prop,Unknown,Grant Aviation Inc,1,0,0,Unknown,IMC,Cruise
20061002X01438,ANC06CA128,8/31/06,"ANIAK, AK",United States,60.766667,-158.8,Non-Fatal,Airplane,N1858A,Piper,PA-18,No,1,Reciprocating,Personal,Unknown,0,0,0,2,VMC,Takeoff
20180618X32836,ANC18LA046,6/15/18,"AMBLER, AK",United States,67.020556,-158.795277,Non-Fatal,Airplane,N2957K,Cessna,180K,No,1,Reciprocating,Unknown,Northstar Aero Llc,0,1,1,1,VMC,Takeoff
20170721X74752,ANC17CA038,7/21/17,"DILLLINGHAM, AK",United States,59.199444,-158.741944,Non-Fatal,Airplane,N364RA,Dehavilland,DHC 2,No,1,Reciprocating,Personal,Unknown,0,0,0,3,VMC,Takeoff
20111213X35101,ANC12CA012,12/8/11,"KALTAG, AK",United States,64.318889,-158.741389,Non-Fatal,Airplane,N300ED,Piper,PA-31-350,No,2,Reciprocating,Unknown,Warbelows Air Ventures Inc (dba: Warbelows Air Venture),0,0,0,3,IMC,Landing
20090327X25149,ANC09CA026,3/26/09,"DILLINGHAM, AK",United States,58.987777,-158.621389,Non-Fatal,Airplane,N2989D,Cessna,170B,No,1,Reciprocating,Personal,Unknown,0,0,2,Unknown,VMC,Takeoff
